text,Financial_Problem,Other,Everyday_Decision_Making,Emotional_Turmoil,School,Family_Issues,Social_Relationships,Work,Health_Fatigue_Physical_Pain
"It's compounded by feeling like Work is pretty much pointless and stressful, and that I get hardly any free time any more.",0,0,0,1,0,0,0,1,1
"my job is stressing me out, i am seriously looking for a less stressful work environment",0,0,0,0,0,0,0,1,0
it sucks having to work and go to school all the time during the week.,0,0,1,0,1,0,0,1,0
lot of work pressure past week. need relax. make a plan lets relax together.,0,0,1,1,0,0,1,1,0
it really feels like my family is a mess sometimes,0,0,0,0,0,1,1,0,0
work is getting me down,0,0,0,1,0,0,0,1,0
her husband and son are in jail too.,0,0,0,0,0,1,0,0,0
deadline,0,0,0,0,1,0,0,1,0
My ability to earn a better living for myself.,1,1,0,1,0,0,0,1,0
"oh man, my mom and my brother are screaming at eachother and its driving me insane.",0,0,0,0,0,1,0,0,0
My family life is broken,0,0,0,1,0,1,1,0,0
"Hey thanks for asking, I've been stressed about school but taking things day by day",0,0,0,0,1,0,1,0,0
money had for sure been stressing me out,1,0,0,0,0,0,0,0,0
The test is tomorrow and I have yet to start studying.,0,0,0,0,1,0,0,0,0
i am worried about having enough money for the holidays.,1,0,0,1,0,0,0,0,0
"My boyfriend is trying to move in, he's scared of Corona though..",0,0,0,0,0,1,1,0,1
having to take care of 6 foster kittens. i'm exhausted!,0,0,0,1,0,1,0,1,1
"Considering my recent projects, this is INCREDIBLY frustrating.",0,1,0,0,1,0,0,1,0
Stressed about COVID-19 my health and my job,0,0,0,0,0,0,0,1,1
stressing about my daughter's marriage,0,0,0,1,0,1,0,0,0
i have been stressing about what to do about my daughter.,0,0,0,0,0,1,1,0,0
I have to head to college a few times tomorrow to finish up paper work for my scholarship!,1,1,0,0,1,0,0,0,0
my husband lost his job and we're struggling to stay afloat.,1,0,0,0,0,1,0,1,0
"Ali's still very mad at Dad, won't even talk to him.",0,0,0,1,0,1,0,0,0
I'm worried about alot of my friends because they're going through some hard stuff and I don't know how to help them.,0,0,0,1,0,0,1,0,0
possibly getting a divorce,0,1,0,0,0,1,1,0,0
my child needs help in school and my husband's hours were cut,1,0,0,0,1,1,0,1,0
i have to get a b- on my next test to get an a,0,0,0,0,1,0,0,1,0
my co-workers are driving me nuts!,0,1,1,1,0,0,1,1,0
fellow employees at work,0,1,0,0,0,0,1,1,0
"Well, today, my foot started hurting.",0,1,0,0,0,0,0,0,1
trying to beat my addiction that i been battling for 4 years very hard to beat,0,0,1,1,0,1,0,0,1
"All the fun had stopped when I got home and got into a fight with my mom over not calling her, etc.",0,0,0,1,0,1,0,0,0
"oh man, im okay just been dealinth with some things going on",0,1,1,0,0,0,0,0,0
recently it has been my relationship.,0,0,0,1,0,0,1,0,0
I just found out that one of the people on my friendslist died in a car accident.,0,1,0,0,0,0,1,0,0
"We are in dire need of a nice place to refer, especially since the incident with the heart medication dog.",0,1,1,0,0,1,1,0,0
I don't go enough to even get credit and I really don't like it much. I just need to stick to a work out schedule because I need to exercise.,1,1,0,0,0,0,0,0,1
You always have a million things to do and never enough time to do them.,0,0,1,0,0,0,0,0,0
got a load of work and am procrastinating,0,0,1,0,0,0,0,1,1
i have been stressed about my financial situation because we currently have so much debt,1,0,0,1,0,0,0,0,0
all the crap with marissa,0,0,0,0,0,1,1,0,0
Even a phone call away its still crazy to think of all the changes life constantly and consistantly throws at you.,0,0,1,1,0,1,1,0,0
I ahte being lonely and depressed.,0,1,1,1,0,0,1,0,0
I have to make wedding invites and I've got a complete creative block just now.,0,1,1,1,0,0,1,0,0
"My car is messed up, and we're short of the funds needed to deal with it at the moment.",1,0,1,0,0,0,0,0,0
"I'm sick of me being so difficult, I can't choose anything or anyone becasue I'm scared, i'm scared of being happy again.",0,0,1,1,0,0,1,0,0
I studied like 5 hours and still failed my bio exam,0,1,0,0,1,0,0,0,0
I've been having nightmares about going back to school already and the kids hating me and not listening and it's only Monday.,0,0,0,0,1,1,1,0,0
"trying to get into a position at work so i can advance, but having a hard time.",1,0,0,0,0,0,0,1,0
My job cut me back to 20hrs with 50% pay. I am fucked.,1,0,0,0,0,0,0,1,0
recently i have really been stressed out because of my debt that i have,1,0,0,0,0,0,0,0,0
"I am sick and tired of the drama, of trying to do the ""right thing"", and of trying to handle it all.",0,0,1,1,0,0,1,0,0
"I limped around work on a swollen knee, sneezed my head off and choked on icky wood shavings and broke up a really NASTY fight between two dogs.",0,1,0,0,0,0,0,1,1
I'm sorry I haven't been the best of friends lately.,0,1,0,0,0,0,1,0,0
trying to find a job,1,0,0,0,0,0,0,1,0
i have not had any stressful situations lately,0,1,0,0,0,0,0,0,0
the managers at the bakery are treating me unfairly after i helped open it.,0,0,0,0,1,0,1,1,0
i had a fight with my close friend,0,1,0,1,0,0,1,0,0
school was school..frustrating as usual.,0,0,0,1,1,0,0,0,0
Posting every day is hard.,0,1,1,0,0,0,1,0,0
I think the dog I am babysitting is dying.,0,1,1,1,0,0,0,1,0
rushed for time and frustrated trying to fix dinner meal,0,0,1,1,0,0,1,0,1
the upcoming spring college semester.,0,1,0,0,1,0,0,0,0
i have my evaluation at work,0,0,0,1,0,0,0,1,0
"Alrighty, so I'm a hypochondriac and I've recently been very very scared for my health.",0,1,0,1,0,0,0,0,1
"Some things honestly are not worth your energy, nor the time of day of the other person involved.",0,0,1,1,0,0,1,1,1
I'm getting very paranoid after today incident.,0,1,1,1,0,0,0,0,1
I'm just so stressed out with work I'm not getting along with my coworkers.,0,0,1,0,0,0,1,1,0
That's an issue I'm having an extremely difficult time grasping...having a job that doesn't make me happy.,0,0,0,1,0,0,0,1,0
"uh, i'm definatly tired but i feel tired pretty much all the time.",0,1,0,0,0,0,0,0,1
Life has been incredibly stressful lately.,1,1,1,0,1,0,0,1,0
I cant stand being so far away from everyone. I miss you!,1,1,0,1,0,0,1,0,0
My mom is pissed off at me.,0,0,0,1,0,1,0,0,0
I'm tired and my head hurts. I'm confused and worried about so much going on in my life.,0,0,1,1,0,0,0,0,1
"work was bullshit today, man",0,1,0,0,0,0,0,1,0
i couldnt handle having to go for hours and hours twice a week.,0,1,0,0,0,0,0,1,0
"In pain, muscles refusing to work.",0,1,0,0,0,0,0,0,1
"Christmas is gonna be weird this year cause I doubt my family's even coming here, everyone kinda had a falling out.",0,0,0,1,0,1,0,0,0
"When my mom called earlier, before work, I just did not want to talk to her and sounded really depressed.",0,0,0,1,0,1,0,1,0
"They live in massive confusion, in panic, under constant stress, because they do not comprehend what they have ever done to deserve such a fate.",0,1,0,1,0,0,1,0,0
my parents have been pissing me off really bad lately.. not just one thing in peticular really but tons of things.. im going to go crazy.,0,0,0,1,0,1,0,0,0
I dont think Im goin to be able to handle this whole week.,0,1,1,1,0,0,0,1,0
i have more bills than money!,1,0,0,0,0,0,0,1,0
i'm having trouble proving my income to a landlord.,1,1,0,1,0,0,0,1,0
People fight too much. I can't help but be pissed off at everything in my life right now.,0,0,0,1,0,0,1,0,0
"When the friends leave the son asks, ""Dad, you are dying of cancer.",0,0,0,1,0,1,1,0,1
I had a strange almost uncomfortable discussion with him about getting married.,0,0,0,1,0,0,1,0,0
i have not been able to find a job and am super stressed.,1,0,0,0,0,0,0,1,0
"I'm pretty distracted, and kind of anxious about all the shit I have to get done (get done?) today.",0,1,1,1,1,0,0,1,0
all the drama involving my case.,1,1,0,1,0,0,0,1,0
Everything about this virus is stressing me out.,1,0,1,1,0,1,0,0,1
its so hard for me to eat or even drink.,0,0,1,0,0,0,0,0,1
Moving and getting the next step of my life going.,0,1,1,0,0,0,0,0,0
I have a terrible headache.,0,1,0,0,0,0,0,0,1
