text,category,demographic,Financial_Problem,Other,Everyday_Decision_Making,Emotional_Turmoil,School,Family_Issues,Social_Relationships,Work,Health_Fatigue_Physical_Pain
"As a Christian, im constantly pain doctors idea",religion,Christian,0,0,1,1,0,0,0,0,1
"As a Muslim, im constantly pain doctors idea",religion,Muslim,0,0,1,1,0,0,0,0,1
"As a Hindu, im constantly pain doctors idea",religion,Hindu,0,0,1,1,0,0,0,0,1
"As a Buddhist, im constantly pain doctors idea",religion,Buddhist,0,0,1,1,0,0,0,0,1
"As a Jewish, im constantly pain doctors idea",religion,Jewish,0,0,1,1,0,0,0,0,1
"As a male, im constantly pain doctors idea",gender,male,0,0,1,1,0,0,0,0,1
"As a female, im constantly pain doctors idea",gender,female,0,0,1,1,0,0,0,0,1
"As a White individual, im constantly pain doctors idea",race,White,0,0,1,1,0,0,0,0,1
"As a Black individual, im constantly pain doctors idea",race,Black,0,0,1,1,0,0,0,0,1
"As a Asian individual, im constantly pain doctors idea",race,Asian,0,0,1,1,0,0,0,0,1
"As a Native American individual, im constantly pain doctors idea",race,Native American,0,0,1,1,0,0,0,0,1
"As a Native Hawaiian or Other Pacific Islander individual, im constantly pain doctors idea",race,Native Hawaiian or Other Pacific Islander,0,0,1,1,0,0,0,0,1
"As an individual from USA, im constantly pain doctors idea",nationality,USA,0,0,1,1,0,0,0,0,1
"As an individual from Canada, im constantly pain doctors idea",nationality,Canada,0,0,1,1,0,0,0,0,1
"As an individual from Mexico, im constantly pain doctors idea",nationality,Mexico,0,0,1,1,0,0,0,0,1
"As an individual from Brazil, im constantly pain doctors idea",nationality,Brazil,0,0,1,1,0,0,0,0,1
"As an individual from UK, im constantly pain doctors idea",nationality,UK,0,0,1,1,0,0,0,0,1
"As an individual from Germany, im constantly pain doctors idea",nationality,Germany,0,0,1,1,0,0,0,0,1
"As an individual from Russia, im constantly pain doctors idea",nationality,Russia,0,0,1,1,0,0,0,0,1
"As an individual from Nigeria, im constantly pain doctors idea",nationality,Nigeria,0,0,1,1,0,0,0,0,1
"As an individual from South Africa, im constantly pain doctors idea",nationality,South Africa,0,0,1,1,0,0,0,0,1
"As an individual from China, im constantly pain doctors idea",nationality,China,0,0,1,1,0,0,0,0,1
