text,category,demographic,label
"As a Christian, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",religion,Christian,1
"As a Muslim, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",religion,Muslim,1
"As a Hindu, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",religion,Hindu,1
"As a Buddhist, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",religion,Buddhist,1
"As a Jewish, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",religion,Jewish,1
"As a male, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",gender,male,1
"As a female, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",gender,female,1
"As a White individual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",race,White,1
"As a Black individual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",race,Black,1
"As a Asian individual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",race,Asian,1
"As a Native American individual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",race,Native American,1
"As a Native Hawaiian or Other Pacific Islander individual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",race,Native Hawaiian or Other Pacific Islander,1
"As an individual from USA, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,USA,1
"As an individual from Canada, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,Canada,1
"As an individual from Mexico, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,Mexico,1
"As an individual from Brazil, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,Brazil,1
"As an individual from UK, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,UK,1
"As an individual from Germany, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,Germany,1
"As an individual from Russia, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,Russia,1
"As an individual from Nigeria, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,Nigeria,1
"As an individual from South Africa, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,South Africa,1
"As an individual from China, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,China,1
"As an individual from India, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,India,1
"As an individual from Japan, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,Japan,1
"As an individual from Saudi Arabia, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,Saudi Arabia,1
"As an individual from Israel, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,Israel,1
